4, 1
epoch: 1 step: 15000, loss is 0.0016300678253173828
epoch: 2 step: 15000, loss is 0.028679251670837402
epoch: 3 step: 15000, loss is 7.367134094238281e-05
epoch: 4 step: 15000, loss is 0.0021085739135742188
epoch: 5 step: 15000, loss is 0.004730224609375
epoch: 6 step: 15000, loss is 0.005633115768432617
epoch: 7 step: 15000, loss is 0.000110626220703125
epoch: 8 step: 15000, loss is 0.008741617202758789
epoch: 9 step: 15000, loss is 0.0
epoch: 10 step: 15000, loss is 0.0003190040588378906
193.36001801490784

8, 2
epoch: 1 step: 7500, loss is 0.14810991287231445
epoch: 2 step: 7500, loss is 0.06591987609863281
epoch: 3 step: 7500, loss is 5.602836608886719e-05
epoch: 4 step: 7500, loss is 0.0019235610961914062
epoch: 5 step: 7500, loss is 0.005980730056762695
epoch: 6 step: 7500, loss is 0.055676937103271484
epoch: 7 step: 7500, loss is 7.414817810058594e-05
epoch: 8 step: 7500, loss is 0.08923399448394775
epoch: 9 step: 7500, loss is 0.0008263587951660156
epoch: 10 step: 7500, loss is 0.0007634162902832031
166.18657684326172

16, 4
epoch: 1 step: 3750, loss is 0.18957102298736572
epoch: 2 step: 3750, loss is 0.2855726480484009
epoch: 3 step: 3750, loss is 0.04252469539642334
epoch: 4 step: 3750, loss is 0.012411952018737793
epoch: 5 step: 3750, loss is 0.003908872604370117
epoch: 6 step: 3750, loss is 0.06303024291992188
epoch: 7 step: 3750, loss is 0.0002281665802001953
epoch: 8 step: 3750, loss is 0.8939555287361145
epoch: 9 step: 3750, loss is 0.017479658126831055
epoch: 10 step: 3750, loss is 0.000118255615234375
155.26429891586304


32, 8
epoch: 1 step: 1875, loss is 3.828000068664551
epoch: 2 step: 1875, loss is 0.43289709091186523
epoch: 3 step: 1875, loss is 0.04428815841674805
epoch: 4 step: 1875, loss is 1.9290982484817505
epoch: 5 step: 1875, loss is 0.07924187183380127
epoch: 6 step: 1875, loss is 0.051729679107666016
epoch: 7 step: 1875, loss is 0.0014314651489257812
epoch: 8 step: 1875, loss is 0.2639816999435425
epoch: 9 step: 1875, loss is 0.010102033615112305
epoch: 10 step: 1875, loss is 0.0040051937103271484
145.04083895683289

32, 16
epoch: 1 step: 1875, loss is 5.501252174377441
epoch: 2 step: 1875, loss is 1.1434626579284668
epoch: 3 step: 1875, loss is 0.07300996780395508
epoch: 4 step: 1875, loss is 5.28427791595459
epoch: 5 step: 1875, loss is 0.8784501552581787
epoch: 6 step: 1875, loss is 0.012321949005126953
epoch: 7 step: 1875, loss is 0.0016102790832519531
epoch: 8 step: 1875, loss is 0.01977229118347168
epoch: 9 step: 1875, loss is 1.4372901916503906
epoch: 10 step: 1875, loss is 0.10138702392578125
275.39977288246155

32, 32
epoch: 1 step: 1875, loss is 10.241050720214844
epoch: 2 step: 1875, loss is 0.9697260856628418
epoch: 3 step: 1875, loss is 0.10714197158813477
epoch: 4 step: 1875, loss is 4.293314456939697
epoch: 5 step: 1875, loss is 0.07293891906738281
epoch: 6 step: 1875, loss is 0.11051177978515625
epoch: 7 step: 1875, loss is 0.0061092376708984375
epoch: 8 step: 1875, loss is 0.4039034843444824
epoch: 9 step: 1875, loss is 0.015133857727050781
epoch: 10 step: 1875, loss is 0.04391765594482422
528.2830142974854

32, 4
epoch: 1 step: 1875, loss is 1.9154188632965088
epoch: 2 step: 1875, loss is 0.42624741792678833
epoch: 3 step: 1875, loss is 0.03433191776275635
epoch: 4 step: 1875, loss is 1.0684007406234741
epoch: 5 step: 1875, loss is 0.02050173282623291
epoch: 6 step: 1875, loss is 0.013086438179016113
epoch: 7 step: 1875, loss is 0.004530787467956543
epoch: 8 step: 1875, loss is 0.07968878746032715
epoch: 9 step: 1875, loss is 0.01634925603866577
epoch: 10 step: 1875, loss is 0.020524024963378906
97.68084239959717

32, 2
epoch: 1 step: 1875, loss is 1.1373051404953003
epoch: 2 step: 1875, loss is 0.37406083941459656
epoch: 3 step: 1875, loss is 0.0253140926361084
epoch: 4 step: 1875, loss is 0.6246224641799927
epoch: 5 step: 1875, loss is 0.0651475191116333
epoch: 6 step: 1875, loss is 0.01256135106086731
epoch: 7 step: 1875, loss is 0.00733572244644165
epoch: 8 step: 1875, loss is 0.04539415240287781
epoch: 9 step: 1875, loss is 0.03816807270050049
epoch: 10 step: 1875, loss is 0.0793558657169342
67.2131118774414

32, 1
epoch: 1 step: 1875, loss is 0.6073852777481079
epoch: 2 step: 1875, loss is 0.2709050476551056
epoch: 3 step: 1875, loss is 0.027289554476737976
epoch: 4 step: 1875, loss is 0.32378536462783813
epoch: 5 step: 1875, loss is 0.06965109705924988
epoch: 6 step: 1875, loss is 0.02296365797519684
epoch: 7 step: 1875, loss is 0.012132510542869568
epoch: 8 step: 1875, loss is 0.07161591947078705
epoch: 9 step: 1875, loss is 0.04693497717380524
epoch: 10 step: 1875, loss is 0.10718569159507751
52.5638370513916
